library,event,n,duration_ms_mean,duration_ms_stddev,rss_delta_kb_mean,rss_delta_kb_stddev,rebuild_count_mean,rebuild_count_stddev,worst_frame_ms_mean,worst_frame_ms_stddev
provider,load_page_1,5,40.8,3.2,6268,87,11.0,0.0,28.69,0.31
provider,load_page_2,5,98.0,1.6,10712,1506,43.0,0.0,78.55,2.01
provider,load_page_3,5,119.8,2.3,16016,896,51.0,0.0,86.47,1.32
provider,add_user,25,34.7,6.1,3546,1867,11.0,0.0,26.82,3.20
provider,edit_user,5,16.2,4.6,-1021,856,2.0,0.0,13.64,1.58
provider,delete_user,5,40.0,1.9,3873,127,11.0,0.0,26.30,0.85
provider,search_query,5,26.8,7.3,933,95,1.0,0.0,10.78,1.04
provider,search_clear,5,34.6,4.0,3658,95,11.0,0.0,27.11,1.79
riverpod,load_page_1,5,71.8,8.4,17428,600,11.0,0.0,51.74,17.54
riverpod,load_page_2,5,105.0,8.7,12402,3214,43.0,0.0,92.28,9.75
riverpod,load_page_3,5,120.2,8.7,16539,2745,51.0,0.0,90.82,4.19
riverpod,add_user,25,37.7,6.2,4767,1405,11.0,0.0,28.29,2.86
riverpod,edit_user,5,15.4,3.9,-212,1212,2.0,0.0,13.37,1.83
riverpod,delete_user,5,43.0,4.6,3997,1820,11.0,0.0,30.02,2.41
riverpod,search_query,5,32.8,2.0,1048,99,1.0,0.0,11.92,0.82
riverpod,search_clear,5,38.8,10.8,4601,1336,11.0,0.0,32.62,10.59
getx,load_page_1,5,38.6,4.2,5770,894,10.0,0.0,27.88,1.35
getx,load_page_2,5,105.8,5.2,12250,1226,52.0,0.0,85.82,6.28
getx,load_page_3,5,128.0,11.5,17998,2332,63.0,0.0,106.10,11.58
getx,add_user,25,35.9,6.3,3834,1617,10.0,0.0,27.17,3.44
getx,edit_user,5,15.6,5.5,-294,1153,1.0,0.0,12.32,1.37
getx,delete_user,5,38.2,3.7,3784,33,10.0,0.0,25.05,1.40
getx,search_query,5,26.6,5.2,767,54,1.0,0.0,9.81,1.97
getx,search_clear,5,31.4,1.8,4458,1063,10.0,0.0,25.34,1.50
watch_it,load_page_1,5,39.6,2.5,5098,1220,11.0,0.0,29.15,1.05
watch_it,load_page_2,5,101.2,5.4,12300,1194,53.0,0.0,82.25,2.17
watch_it,load_page_3,5,138.8,8.6,20873,1147,64.0,0.0,94.31,6.40
watch_it,add_user,25,36.4,5.8,3814,2050,11.0,0.0,27.81,2.84
watch_it,edit_user,5,17.4,5.5,-182,1245,1.0,0.0,13.15,1.25
watch_it,delete_user,5,40.2,2.8,2321,861,11.0,0.0,27.08,2.86
watch_it,search_query,5,26.0,6.0,1349,958,2.0,0.0,11.65,1.04
watch_it,search_clear,5,39.0,9.7,3743,645,11.0,0.0,33.43,9.44
