library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,32728,827,11,534.14,5000,2026-06-01T11:30:00.107569
riverpod,add_user,23408,221,11,186.19,5000,2026-06-01T11:30:12.943096
riverpod,add_user,20172,193,11,166.34,5000,2026-06-01T11:30:23.197728
riverpod,add_user,11680,186,11,171.08,5000,2026-06-01T11:30:33.432461
riverpod,add_user,16140,180,11,163.31,5000,2026-06-01T11:30:43.658579
riverpod,add_user,12304,180,11,160.52,5000,2026-06-01T11:30:53.905269
riverpod,edit_user,2484,66,2,61.98,5000,2026-06-01T11:31:00.660079
riverpod,search_query,1768,52,1,24.59,5000,2026-06-01T11:31:03.185159
riverpod,search_clear,28688,176,11,164.36,5000,2026-06-01T11:31:04.382757
riverpod,delete_user,11644,168,11,155.52,5000,2026-06-01T11:31:06.492237
riverpod,load_page_2,34564,490,43,451.03,5000,2026-06-01T11:31:09.006216
riverpod,load_page_3,13940,548,51,501.19,5000,2026-06-01T11:31:10.830703
getx,load_page_1,6628,149,10,132.27,5000,2026-06-01T11:31:15.158052
getx,add_user,11372,144,10,133.35,5000,2026-06-01T11:31:27.581064
getx,add_user,9372,154,10,136.25,5000,2026-06-01T11:31:37.775488
getx,add_user,7088,141,10,127.56,5000,2026-06-01T11:31:47.950522
getx,add_user,13560,139,10,125.23,5000,2026-06-01T11:31:58.126777
getx,add_user,18664,141,10,130.17,5000,2026-06-01T11:32:08.287087
getx,edit_user,-7464,40,0,28.76,5000,2026-06-01T11:32:14.966050
getx,search_query,1080,39,1,19.38,5000,2026-06-01T11:32:17.510415
getx,search_clear,12716,113,10,110.81,5000,2026-06-01T11:32:18.660075
getx,delete_user,20776,137,10,117.81,5000,2026-06-01T11:32:20.778966
getx,load_page_2,34784,459,52,430.28,5000,2026-06-01T11:32:23.228985
getx,load_page_3,16000,508,63,483.42,5000,2026-06-01T11:32:25.017352
provider,load_page_1,-10172,228,11,166.64,5000,2026-06-01T11:32:29.367365
provider,add_user,21420,161,11,146.44,5000,2026-06-01T11:32:41.818901
provider,add_user,15464,139,11,128.12,5000,2026-06-01T11:32:51.957462
provider,add_user,12652,125,11,121.60,5000,2026-06-01T11:33:02.089681
provider,add_user,15676,129,11,113.69,5000,2026-06-01T11:33:12.212931
provider,add_user,13348,139,11,120.94,5000,2026-06-01T11:33:22.376279
provider,edit_user,4344,52,2,42.08,5000,2026-06-01T11:33:29.034867
provider,search_query,-508,38,1,18.45,5000,2026-06-01T11:33:31.544695
provider,search_clear,8676,125,11,116.05,5000,2026-06-01T11:33:32.698808
provider,delete_user,13412,135,11,120.81,5000,2026-06-01T11:33:34.812593
provider,load_page_2,26224,370,43,340.58,5000,2026-06-01T11:33:37.178933
provider,load_page_3,15664,442,51,407.02,5000,2026-06-01T11:33:38.883689
watch_it,load_page_1,9900,147,11,113.20,5000,2026-06-01T11:33:43.127479
watch_it,add_user,12364,124,11,119.85,5000,2026-06-01T11:33:55.528956
watch_it,add_user,17208,131,11,116.10,5000,2026-06-01T11:34:05.671144
watch_it,add_user,12644,117,11,111.59,5000,2026-06-01T11:34:15.808821
watch_it,add_user,14032,117,11,110.92,5000,2026-06-01T11:34:25.953133
watch_it,add_user,14692,132,11,120.78,5000,2026-06-01T11:34:36.121218
watch_it,edit_user,3188,43,1,28.95,5000,2026-06-01T11:34:42.811120
watch_it,search_query,-600,46,2,26.62,5000,2026-06-01T11:34:45.378707
watch_it,search_clear,14188,125,11,113.31,5000,2026-06-01T11:34:46.525062
watch_it,delete_user,13536,124,11,116.23,5000,2026-06-01T11:34:48.630311
watch_it,load_page_2,12404,375,53,349.92,5000,2026-06-01T11:34:51.002492
watch_it,load_page_3,22700,441,64,405.27,5000,2026-06-01T11:34:52.723328
