library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,17320,86,11,81.48,5000,2026-05-31T12:54:15.645143
riverpod,add_user,3848,31,11,25.60,5000,2026-05-31T12:54:27.874321
riverpod,add_user,5748,47,11,29.83,5000,2026-05-31T12:54:37.527136
riverpod,add_user,5736,38,11,32.44,5000,2026-05-31T12:54:47.197316
riverpod,add_user,6024,39,11,27.85,5000,2026-05-31T12:54:56.857762
riverpod,add_user,6060,40,11,31.35,5000,2026-05-31T12:55:06.550024
riverpod,edit_user,-1532,12,2,12.50,5000,2026-05-31T12:55:12.874999
riverpod,search_query,1036,33,1,11.93,5000,2026-05-31T12:55:15.382236
riverpod,search_clear,6012,56,11,50.43,5000,2026-05-31T12:55:16.458004
riverpod,delete_user,4020,43,11,30.88,5000,2026-05-31T12:55:18.509266
riverpod,load_page_2,15804,108,43,100.14,5000,2026-05-31T12:55:20.648993
riverpod,load_page_3,14580,116,51,93.06,5000,2026-05-31T12:55:22.004571
getx,load_page_1,4172,43,10,27.70,5000,2026-05-31T12:55:26.024573
getx,add_user,1788,32,10,25.00,5000,2026-05-31T12:55:38.262036
getx,add_user,1596,30,10,23.95,5000,2026-05-31T12:55:47.917095
getx,add_user,1844,33,10,25.48,5000,2026-05-31T12:55:57.599510
getx,add_user,5952,36,10,27.36,5000,2026-05-31T12:56:07.283528
getx,add_user,1716,34,10,26.84,5000,2026-05-31T12:56:16.956118
getx,edit_user,496,11,1,10.10,5000,2026-05-31T12:56:23.257204
getx,search_query,716,20,1,9.35,5000,2026-05-31T12:56:25.750084
getx,search_clear,4784,29,10,23.41,5000,2026-05-31T12:56:26.805012
getx,delete_user,3824,39,10,25.68,5000,2026-05-31T12:56:28.887503
getx,load_page_2,11468,115,52,96.87,5000,2026-05-31T12:56:31.033173
getx,load_page_3,19844,130,63,105.54,5000,2026-05-31T12:56:32.402072
provider,load_page_1,6296,45,11,28.68,5000,2026-05-31T12:56:36.423892
provider,add_user,1812,30,11,25.07,5000,2026-05-31T12:56:48.668401
provider,add_user,5912,42,11,29.42,5000,2026-05-31T12:56:58.354332
provider,add_user,2188,32,11,25.08,5000,2026-05-31T12:57:08.041523
provider,add_user,1812,32,11,25.58,5000,2026-05-31T12:57:17.720431
provider,add_user,5836,39,11,29.39,5000,2026-05-31T12:57:27.421013
provider,edit_user,-1548,14,2,13.21,5000,2026-05-31T12:57:33.732029
provider,search_query,984,21,1,10.60,5000,2026-05-31T12:57:36.224118
provider,search_clear,3812,31,11,24.79,5000,2026-05-31T12:57:37.287425
provider,delete_user,3724,40,11,26.42,5000,2026-05-31T12:57:39.369680
provider,load_page_2,10428,100,43,80.37,5000,2026-05-31T12:57:41.498416
provider,load_page_3,15152,117,51,86.73,5000,2026-05-31T12:57:42.872764
watch_it,load_page_1,4176,42,11,29.03,5000,2026-05-31T12:57:46.910872
watch_it,add_user,3912,41,11,29.83,5000,2026-05-31T12:57:59.176985
watch_it,add_user,3840,30,11,23.74,5000,2026-05-31T12:58:08.812931
watch_it,add_user,1776,30,11,23.63,5000,2026-05-31T12:58:18.475045
watch_it,add_user,5860,34,11,28.38,5000,2026-05-31T12:58:28.177307
watch_it,add_user,3840,34,11,26.82,5000,2026-05-31T12:58:37.857836
watch_it,edit_user,-1548,10,1,12.15,5000,2026-05-31T12:58:44.165135
watch_it,search_query,1004,33,2,11.81,5000,2026-05-31T12:58:46.672981
watch_it,search_clear,2860,30,11,25.11,5000,2026-05-31T12:58:47.732361
watch_it,delete_user,2076,42,11,30.36,5000,2026-05-31T12:58:49.808403
watch_it,load_page_2,11428,92,53,79.17,5000,2026-05-31T12:58:51.924391
watch_it,load_page_3,20352,126,64,89.16,5000,2026-05-31T12:58:53.301799
