library,event,n,duration_ms_mean,duration_ms_stddev,rss_delta_kb_mean,rss_delta_kb_stddev,rebuild_count_mean,rebuild_count_stddev,worst_frame_ms_mean,worst_frame_ms_stddev
provider,load_page_1,5,40.8,4.7,6300,62,11.0,0.0,23.78,1.66
provider,load_page_2,5,48.4,2.1,2516,117,13.0,0.0,36.06,1.23
provider,load_page_3,5,66.2,2.9,5873,1177,21.0,0.0,52.34,1.21
provider,add_user,25,36.3,5.2,3469,1856,11.0,0.0,27.47,2.55
provider,edit_user,5,12.8,1.9,-162,1153,2.0,0.0,12.03,0.29
provider,delete_user,5,40.4,1.5,3098,1101,11.0,0.0,27.68,1.38
provider,search_query,5,21.6,4.7,579,28,1.0,0.0,14.50,3.35
provider,search_clear,5,36.6,5.5,3653,1423,11.0,0.0,27.78,1.55
riverpod,load_page_1,5,66.4,8.2,14895,541,11.0,0.0,47.05,3.55
riverpod,load_page_2,5,55.2,8.6,4902,2079,13.0,0.0,44.78,7.52
riverpod,load_page_3,5,67.0,9.9,6745,1373,21.0,0.0,53.48,2.69
riverpod,add_user,25,36.7,5.7,3801,1398,11.0,0.0,28.39,3.28
riverpod,edit_user,5,20.4,5.0,-204,1134,2.0,0.0,15.89,2.16
riverpod,delete_user,5,44.0,3.8,3938,316,11.0,0.0,30.28,5.02
riverpod,search_query,5,21.6,8.2,654,142,1.0,0.0,13.67,3.91
riverpod,search_clear,5,33.6,2.7,3785,183,11.0,0.0,27.57,2.01
getx,load_page_1,5,37.6,7.2,6028,558,10.0,0.0,22.43,2.08
getx,load_page_2,5,56.8,2.9,4195,1190,22.0,0.0,43.34,2.34
getx,load_page_3,5,72.4,1.5,5634,887,33.0,0.0,58.01,0.73
getx,add_user,25,34.0,5.3,3657,1818,10.0,0.0,26.00,2.46
getx,edit_user,5,12.6,1.9,-634,1171,1.0,0.0,11.68,0.91
getx,delete_user,5,39.4,3.1,3174,932,10.0,0.0,26.51,0.93
getx,search_query,5,20.4,4.3,506,103,1.0,0.0,10.92,1.82
getx,search_clear,5,39.4,8.9,4665,1159,10.0,0.0,29.05,6.12
watch_it,load_page_1,5,40.0,5.5,5913,675,11.0,0.0,23.62,2.27
watch_it,load_page_2,5,54.8,3.1,3594,766,23.0,0.0,41.60,1.37
watch_it,load_page_3,5,72.4,8.8,5842,3290,34.0,0.0,57.79,2.62
watch_it,add_user,25,35.2,6.1,3665,1485,11.0,0.0,27.05,3.13
watch_it,edit_user,5,14.8,4.4,-598,1258,1.0,0.0,14.00,2.87
watch_it,delete_user,5,38.6,9.1,3230,1371,11.0,0.0,25.54,2.65
watch_it,search_query,5,20.4,5.5,645,186,2.0,0.0,11.53,2.45
watch_it,search_clear,5,32.4,2.2,3681,28,11.0,0.0,25.87,4.17
