library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,37648,806,11,470.72,100,2026-05-31T22:35:37.299144
riverpod,add_user,17100,236,11,204.47,100,2026-05-31T22:35:50.471796
riverpod,add_user,17548,204,11,185.23,100,2026-05-31T22:36:00.782889
riverpod,add_user,12184,201,11,183.53,100,2026-05-31T22:36:11.030940
riverpod,add_user,15348,181,11,166.53,100,2026-05-31T22:36:21.221397
riverpod,add_user,10548,192,11,173.30,100,2026-05-31T22:36:31.420926
riverpod,edit_user,2448,64,2,61.74,100,2026-05-31T22:36:38.151174
riverpod,search_query,2152,53,1,33.85,100,2026-05-31T22:36:40.672798
riverpod,search_clear,7904,154,11,144.22,100,2026-05-31T22:36:41.857946
riverpod,delete_user,17508,187,11,171.20,100,2026-05-31T22:36:43.997378
riverpod,load_page_2,32436,197,13,179.41,100,2026-05-31T22:36:46.185144
riverpod,load_page_3,2000,273,21,263.08,100,2026-05-31T22:36:47.735908
getx,load_page_1,10596,169,10,117.53,100,2026-05-31T22:36:52.076289
getx,add_user,10052,141,10,130.28,100,2026-05-31T22:37:04.539880
getx,add_user,12716,154,10,136.45,100,2026-05-31T22:37:14.717675
getx,add_user,16852,156,10,142.28,100,2026-05-31T22:37:24.864068
getx,add_user,9156,156,10,142.31,100,2026-05-31T22:37:35.022147
getx,add_user,11624,127,10,116.47,100,2026-05-31T22:37:45.149014
getx,edit_user,3412,39,0,31.56,100,2026-05-31T22:37:51.847204
getx,search_query,572,43,1,23.32,100,2026-05-31T22:37:54.397116
getx,search_clear,9344,133,10,125.22,100,2026-05-31T22:37:55.556178
getx,delete_user,8576,126,10,114.52,100,2026-05-31T22:37:57.649760
getx,load_page_2,13316,188,22,177.63,100,2026-05-31T22:37:59.827373
getx,load_page_3,21728,292,33,280.44,100,2026-05-31T22:38:01.408044
provider,load_page_1,-7992,311,11,249.55,100,2026-05-31T22:38:05.852543
provider,add_user,20164,155,11,140.18,100,2026-05-31T22:38:18.296003
provider,add_user,15384,143,11,133.99,100,2026-05-31T22:38:28.456351
provider,add_user,20672,138,11,133.85,100,2026-05-31T22:38:38.627072
provider,add_user,12424,152,11,138.40,100,2026-05-31T22:38:48.796170
provider,add_user,11572,127,11,114.96,100,2026-05-31T22:38:58.911771
provider,edit_user,5292,66,2,56.93,100,2026-05-31T22:39:05.571216
provider,search_query,-760,48,1,30.55,100,2026-05-31T22:39:08.077221
provider,search_clear,8988,119,11,119.39,100,2026-05-31T22:39:09.209994
provider,delete_user,10528,142,11,131.97,100,2026-05-31T22:39:11.328954
provider,load_page_2,13488,149,13,133.19,100,2026-05-31T22:39:13.468346
provider,load_page_3,18028,221,21,198.09,100,2026-05-31T22:39:14.975606
watch_it,load_page_1,14056,155,11,108.09,100,2026-05-31T22:39:19.196152
watch_it,add_user,13444,146,11,136.90,100,2026-05-31T22:39:31.606691
watch_it,add_user,16056,137,11,123.30,100,2026-05-31T22:39:41.788201
watch_it,add_user,12380,141,11,128.51,100,2026-05-31T22:39:51.949257
watch_it,add_user,17256,146,11,135.69,100,2026-05-31T22:40:02.103424
watch_it,add_user,12928,138,11,123.80,100,2026-05-31T22:40:12.285501
watch_it,edit_user,3508,44,1,34.05,100,2026-05-31T22:40:18.967515
watch_it,search_query,-908,50,2,30.42,100,2026-05-31T22:40:21.514958
watch_it,search_clear,8744,119,11,108.19,100,2026-05-31T22:40:22.641779
watch_it,delete_user,14904,129,11,115.41,100,2026-05-31T22:40:24.751216
watch_it,load_page_2,13084,177,23,162.41,100,2026-05-31T22:40:26.911459
watch_it,load_page_3,20328,253,34,236.09,100,2026-05-31T22:40:28.426568
