library,event,widget_type,rebuild_count
riverpod,load_page_1,RiverpodUserCard,10
riverpod,load_page_1,RiverpodUserListPage,1
riverpod,add_user,RiverpodUserCard,10
riverpod,add_user,RiverpodUserListPage,1
riverpod,edit_user,RiverpodUserCard,1
riverpod,edit_user,RiverpodUserListPage,1
riverpod,delete_user,RiverpodUserCard,10
riverpod,delete_user,RiverpodUserListPage,1
riverpod,search_query,RiverpodUserListPage,1
riverpod,search_clear,RiverpodUserCard,10
riverpod,search_clear,RiverpodUserListPage,1
riverpod,load_page_2,RiverpodUserCard,12
riverpod,load_page_2,RiverpodUserListPage,1
riverpod,load_page_3,RiverpodUserCard,20
riverpod,load_page_3,RiverpodUserListPage,1
getx,load_page_1,GetXUserCard,10
getx,add_user,GetXUserCard,10
getx,edit_user,(none),0
getx,delete_user,GetXUserCard,10
getx,search_query,GetXUserCard,1
getx,search_clear,GetXUserCard,10
getx,load_page_2,GetXUserCard,22
getx,load_page_3,GetXUserCard,33
provider,load_page_1,ProviderUserCard,10
provider,load_page_1,ProviderUserListPage,1
provider,add_user,ProviderUserCard,10
provider,add_user,ProviderUserListPage,1
provider,edit_user,ProviderUserCard,1
provider,edit_user,ProviderUserListPage,1
provider,delete_user,ProviderUserCard,10
provider,delete_user,ProviderUserListPage,1
provider,search_query,ProviderUserListPage,1
provider,search_clear,ProviderUserCard,10
provider,search_clear,ProviderUserListPage,1
provider,load_page_2,ProviderUserCard,12
provider,load_page_2,ProviderUserListPage,1
provider,load_page_3,ProviderUserCard,20
provider,load_page_3,ProviderUserListPage,1
watch_it,load_page_1,WatchItUserCard,10
watch_it,load_page_1,WatchItUserListPage,1
watch_it,add_user,WatchItUserCard,10
watch_it,add_user,WatchItUserListPage,1
watch_it,edit_user,WatchItUserCard,1
watch_it,delete_user,WatchItUserCard,10
watch_it,delete_user,WatchItUserListPage,1
watch_it,search_query,WatchItUserCard,1
watch_it,search_query,WatchItUserListPage,1
watch_it,search_clear,WatchItUserCard,10
watch_it,search_clear,WatchItUserListPage,1
watch_it,load_page_2,WatchItUserCard,22
watch_it,load_page_2,WatchItUserListPage,1
watch_it,load_page_3,WatchItUserCard,33
watch_it,load_page_3,WatchItUserListPage,1
