library,event,list_page,card,total
riverpod,load_page_1,1,10,11
riverpod,add_user,1,10,11
riverpod,edit_user,1,1,2
riverpod,delete_user,1,10,11
riverpod,search_query,1,0,1
riverpod,search_clear,1,10,11
riverpod,load_page_2,1,12,13
riverpod,load_page_3,1,20,21
getx,load_page_1,0,10,10
getx,add_user,0,10,10
getx,edit_user,0,0,0
getx,delete_user,0,10,10
getx,search_query,0,1,1
getx,search_clear,0,10,10
getx,load_page_2,0,22,22
getx,load_page_3,0,33,33
provider,load_page_1,1,10,11
provider,add_user,1,10,11
provider,edit_user,1,1,2
provider,delete_user,1,10,11
provider,search_query,1,0,1
provider,search_clear,1,10,11
provider,load_page_2,1,12,13
provider,load_page_3,1,20,21
watch_it,load_page_1,1,10,11
watch_it,add_user,1,10,11
watch_it,edit_user,0,1,1
watch_it,delete_user,1,10,11
watch_it,search_query,1,1,2
watch_it,search_clear,1,10,11
watch_it,load_page_2,1,22,23
watch_it,load_page_3,1,33,34
