library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,13940,58,11,47.11,100,2026-05-31T10:43:49.219001
riverpod,add_user,5436,44,11,35.15,100,2026-05-31T10:44:01.471458
riverpod,add_user,1824,29,11,23.83,100,2026-05-31T10:44:11.138462
riverpod,add_user,3784,42,11,29.43,100,2026-05-31T10:44:20.813087
riverpod,add_user,1828,29,11,23.46,100,2026-05-31T10:44:30.460075
riverpod,add_user,3956,43,11,30.33,100,2026-05-31T10:44:40.170025
riverpod,edit_user,-1532,15,2,13.37,100,2026-05-31T10:44:46.486093
riverpod,search_query,652,14,1,10.38,100,2026-05-31T10:44:48.977149
riverpod,search_clear,3700,36,11,28.24,100,2026-05-31T10:44:50.045219
riverpod,delete_user,3792,40,11,29.33,100,2026-05-31T10:44:52.116974
riverpod,load_page_2,2748,48,13,38.51,100,2026-05-31T10:44:54.191513
riverpod,load_page_3,7196,71,21,54.53,100,2026-05-31T10:44:55.557369
getx,load_page_1,6252,27,10,21.20,100,2026-05-31T10:44:59.599072
getx,add_user,5896,33,10,26.39,100,2026-05-31T10:45:11.857203
getx,add_user,6064,41,10,27.45,100,2026-05-31T10:45:21.544306
getx,add_user,3860,31,10,24.80,100,2026-05-31T10:45:31.235427
getx,add_user,4264,31,10,24.32,100,2026-05-31T10:45:40.919093
getx,add_user,1864,27,10,21.34,100,2026-05-31T10:45:50.585999
getx,edit_user,-1552,14,1,10.69,100,2026-05-31T10:45:56.908079
getx,search_query,584,24,1,9.89,100,2026-05-31T10:45:59.403163
getx,search_clear,5572,32,10,25.43,100,2026-05-31T10:46:00.449039
getx,delete_user,3708,40,10,26.11,100,2026-05-31T10:46:02.520627
getx,load_page_2,5276,59,22,47.28,100,2026-05-31T10:46:04.608788
getx,load_page_3,7216,73,33,58.66,100,2026-05-31T10:46:05.967867
provider,load_page_1,6292,33,11,21.50,100,2026-05-31T10:46:10.003911
provider,add_user,-76,31,11,23.93,100,2026-05-31T10:46:22.284077
provider,add_user,3904,32,11,26.30,100,2026-05-31T10:46:31.964120
provider,add_user,1920,32,11,25.74,100,2026-05-31T10:46:41.620353
provider,add_user,1572,29,11,23.27,100,2026-05-31T10:46:51.268147
provider,add_user,3760,29,11,23.72,100,2026-05-31T10:47:00.923999
provider,edit_user,-1540,15,2,12.37,100,2026-05-31T10:47:07.246047
provider,search_query,536,29,1,19.46,100,2026-05-31T10:47:09.745162
provider,search_clear,3588,43,11,29.68,100,2026-05-31T10:47:10.806220
provider,delete_user,3876,42,11,27.66,100,2026-05-31T10:47:12.883418
provider,load_page_2,2580,50,13,37.39,100,2026-05-31T10:47:14.961513
provider,load_page_3,6980,68,21,52.19,100,2026-05-31T10:47:16.325358
watch_it,load_page_1,6352,38,11,22.11,100,2026-05-31T10:47:20.366856
watch_it,add_user,1704,32,11,25.70,100,2026-05-31T10:47:32.618299
watch_it,add_user,1748,29,11,22.40,100,2026-05-31T10:47:42.307123
watch_it,add_user,5968,33,11,26.14,100,2026-05-31T10:47:51.962558
watch_it,add_user,1728,33,11,26.22,100,2026-05-31T10:48:01.627834
watch_it,add_user,5940,42,11,29.86,100,2026-05-31T10:48:11.290014
watch_it,edit_user,-1536,13,1,11.31,100,2026-05-31T10:48:17.613216
watch_it,search_query,640,23,2,13.44,100,2026-05-31T10:48:20.109591
watch_it,search_clear,3680,33,11,27.37,100,2026-05-31T10:48:21.164515
watch_it,delete_user,1756,41,11,27.50,100,2026-05-31T10:48:23.235129
watch_it,load_page_2,4952,54,23,40.61,100,2026-05-31T10:48:25.319211
watch_it,load_page_3,3416,67,34,58.29,100,2026-05-31T10:48:26.682133
