library,event,n,duration_ms_mean,duration_ms_stddev,rss_delta_kb_mean,rss_delta_kb_stddev,rebuild_count_mean,rebuild_count_stddev,worst_frame_ms_mean,worst_frame_ms_stddev
provider,load_page_1,5,37.4,4.0,5842,835,11.0,0.0,24.92,4.75
provider,load_page_2,5,50.2,2.4,3326,1099,13.0,0.0,36.20,1.90
provider,load_page_3,5,68.8,1.8,5890,1006,21.0,0.0,52.46,1.65
provider,add_user,25,35.6,6.4,3932,1462,11.0,0.0,27.12,2.98
provider,edit_user,5,16.4,5.4,-221,1130,2.0,0.0,13.26,1.58
provider,delete_user,5,43.2,7.0,4118,1898,11.0,0.0,28.01,1.27
provider,search_query,5,23.0,1.4,630,66,1.0,0.0,12.11,0.82
provider,search_clear,5,37.0,5.0,4115,878,11.0,0.0,28.26,1.29
riverpod,load_page_1,5,61.6,5.9,13690,981,11.0,0.0,46.37,9.15
riverpod,load_page_2,5,52.4,3.4,6772,1310,13.0,0.0,41.94,3.09
riverpod,load_page_3,5,72.4,6.1,7838,913,21.0,0.0,56.98,3.24
riverpod,add_user,25,36.8,7.0,4321,1596,11.0,0.0,28.54,3.84
riverpod,edit_user,5,15.4,4.6,-509,1158,2.0,0.0,14.06,1.33
riverpod,delete_user,5,41.6,4.0,3635,1948,11.0,0.0,28.25,1.12
riverpod,search_query,5,27.2,4.5,649,87,1.0,0.0,12.92,0.72
riverpod,search_clear,5,40.8,7.3,4073,844,11.0,0.0,31.93,6.85
getx,load_page_1,5,34.6,1.1,5498,1082,10.0,0.0,20.85,0.72
getx,load_page_2,5,53.6,2.3,3707,1176,22.0,0.0,41.43,1.32
getx,load_page_3,5,71.0,3.5,6346,1083,33.0,0.0,57.39,0.62
getx,add_user,25,33.8,6.2,3291,1837,10.0,0.0,26.08,3.11
getx,edit_user,5,14.0,4.7,-271,1058,1.0,0.0,12.19,1.25
getx,delete_user,5,37.4,4.7,2726,1148,10.0,0.0,25.63,3.30
getx,search_query,5,20.4,1.1,510,77,1.0,0.0,11.71,1.27
getx,search_clear,5,36.4,4.6,4224,1207,10.0,0.0,26.73,1.26
watch_it,load_page_1,5,35.8,3.0,5522,1149,11.0,0.0,21.98,1.47
watch_it,load_page_2,5,57.0,2.0,2708,1753,23.0,0.0,42.29,1.47
watch_it,load_page_3,5,75.4,6.2,7471,2582,34.0,0.0,58.24,1.90
watch_it,add_user,25,35.4,5.4,3818,1654,11.0,0.0,27.42,2.46
watch_it,edit_user,5,13.2,4.1,-681,1093,1.0,0.0,12.06,1.45
watch_it,delete_user,5,44.6,6.7,3185,1395,11.0,0.0,30.00,5.02
watch_it,search_query,5,22.0,1.9,205,973,2.0,0.0,10.66,2.35
watch_it,search_clear,5,33.0,3.5,3646,73,11.0,0.0,25.33,1.60
