library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,13000,63,11,40.00,1000,2026-05-31T11:28:32.289959
riverpod,add_user,6168,28,11,24.27,1000,2026-05-31T11:28:44.529966
riverpod,add_user,5992,43,11,29.91,1000,2026-05-31T11:28:54.227062
riverpod,add_user,4024,32,11,26.75,1000,2026-05-31T11:29:03.869104
riverpod,add_user,3884,48,11,33.92,1000,2026-05-31T11:29:13.562220
riverpod,add_user,1824,28,11,22.39,1000,2026-05-31T11:29:23.199253
riverpod,edit_user,-1300,23,2,15.50,1000,2026-05-31T11:29:29.524712
riverpod,search_query,716,23,1,12.61,1000,2026-05-31T11:29:32.007366
riverpod,search_clear,5568,42,11,29.41,1000,2026-05-31T11:29:33.089024
riverpod,delete_user,1664,36,11,27.40,1000,2026-05-31T11:29:35.164740
riverpod,load_page_2,6908,51,13,39.70,1000,2026-05-31T11:29:37.243135
riverpod,load_page_3,9296,75,21,53.46,1000,2026-05-31T11:29:38.612180
getx,load_page_1,6196,33,10,20.16,1000,2026-05-31T11:29:42.661905
getx,add_user,3700,41,10,28.18,1000,2026-05-31T11:29:54.905314
getx,add_user,1576,27,10,23.14,1000,2026-05-31T11:30:04.573906
getx,add_user,1456,27,10,21.73,1000,2026-05-31T11:30:14.258257
getx,add_user,5840,41,10,28.82,1000,2026-05-31T11:30:23.917013
getx,add_user,1476,29,10,23.24,1000,2026-05-31T11:30:33.578333
getx,edit_user,-1296,10,1,11.84,1000,2026-05-31T11:30:39.890179
getx,search_query,396,20,1,10.68,1000,2026-05-31T11:30:42.382037
getx,search_clear,5516,40,10,27.20,1000,2026-05-31T11:30:43.456911
getx,delete_user,1508,30,10,21.28,1000,2026-05-31T11:30:45.521282
getx,load_page_2,2852,54,22,40.16,1000,2026-05-31T11:30:47.616369
getx,load_page_3,7148,74,33,57.79,1000,2026-05-31T11:30:48.982721
provider,load_page_1,6192,43,11,24.37,1000,2026-05-31T11:30:53.037215
provider,add_user,5812,42,11,29.84,1000,2026-05-31T11:31:05.277992
provider,add_user,1716,30,11,24.16,1000,2026-05-31T11:31:14.932333
provider,add_user,1804,28,11,22.49,1000,2026-05-31T11:31:24.650427
provider,add_user,3984,43,11,30.04,1000,2026-05-31T11:31:34.317272
provider,add_user,5660,42,11,28.57,1000,2026-05-31T11:31:43.967236
provider,edit_user,-1388,12,2,11.40,1000,2026-05-31T11:31:50.266359
provider,search_query,624,22,1,11.26,1000,2026-05-31T11:31:52.759024
provider,search_clear,3692,42,11,28.37,1000,2026-05-31T11:31:53.833402
provider,delete_user,1872,39,11,27.06,1000,2026-05-31T11:31:55.904589
provider,load_page_2,2528,49,13,34.86,1000,2026-05-31T11:31:57.979100
provider,load_page_3,6652,70,21,52.87,1000,2026-05-31T11:31:59.346860
watch_it,load_page_1,4348,32,11,21.00,1000,2026-05-31T11:32:03.399285
watch_it,add_user,3964,42,11,29.53,1000,2026-05-31T11:32:15.672015
watch_it,add_user,5760,41,11,30.17,1000,2026-05-31T11:32:25.365471
watch_it,add_user,1852,31,11,25.31,1000,2026-05-31T11:32:35.012049
watch_it,add_user,5764,32,11,25.63,1000,2026-05-31T11:32:44.688923
watch_it,add_user,3996,34,11,27.04,1000,2026-05-31T11:32:54.360189
watch_it,edit_user,-1552,10,1,11.61,1000,2026-05-31T11:33:00.666057
watch_it,search_query,836,22,2,11.35,1000,2026-05-31T11:33:03.161054
watch_it,search_clear,3752,39,11,24.61,1000,2026-05-31T11:33:04.222026
watch_it,delete_user,3980,54,11,38.98,1000,2026-05-31T11:33:06.308622
watch_it,load_page_2,5100,56,23,39.90,1000,2026-05-31T11:33:08.380249
watch_it,load_page_3,7264,71,34,55.30,1000,2026-05-31T11:33:09.742177
