library,event,n,duration_ms_mean,duration_ms_stddev,rss_delta_kb_mean,rss_delta_kb_stddev,rebuild_count_mean,rebuild_count_stddev,worst_frame_ms_mean,worst_frame_ms_stddev
provider,load_page_1,5,17.4,2.7,3296,30,1.0,0.0,17.12,3.30
provider,add_user,25,21.3,2.7,2234,1340,4.0,1.4,16.54,2.68
provider,edit_user,5,16.0,4.0,-177,1263,2.0,0.0,14.80,2.61
provider,delete_user,5,26.6,3.6,803,1092,5.0,0.0,16.89,1.31
provider,search_query,5,18.4,3.8,155,841,1.0,0.0,11.99,1.95
provider,search_clear,5,25.4,3.8,3426,1786,6.0,0.0,19.72,1.98
riverpod,load_page_1,5,46.4,15.6,10538,786,1.0,0.0,32.78,8.67
riverpod,add_user,25,24.4,3.8,1389,1711,4.0,1.4,20.26,2.86
riverpod,edit_user,5,17.4,4.4,-118,972,2.0,0.0,14.45,2.17
riverpod,delete_user,5,27.2,1.6,-86,65,5.0,0.0,17.88,1.61
riverpod,search_query,5,14.8,4.1,508,69,1.0,0.0,11.40,2.00
riverpod,search_clear,5,26.8,7.4,2944,1098,6.0,0.0,22.10,7.09
getx,load_page_1,5,21.8,5.1,-2818,8241,0.0,0.0,16.42,2.18
getx,add_user,25,20.1,3.6,1352,1531,3.0,1.4,15.54,2.68
getx,edit_user,5,11.6,0.9,-1142,920,1.0,0.0,15.68,6.67
getx,delete_user,5,27.0,0.7,855,1100,4.0,0.0,15.89,0.56
getx,search_query,5,15.0,4.7,361,60,1.0,0.0,12.85,1.35
getx,search_clear,5,21.6,1.1,3446,869,5.0,0.0,17.88,1.64
watch_it,load_page_1,5,22.2,1.3,2393,1111,1.0,0.0,17.52,1.47
watch_it,add_user,25,22.1,3.7,1224,1505,4.0,1.4,17.10,2.86
watch_it,edit_user,5,13.0,4.6,-706,1152,1.0,0.0,12.25,1.13
watch_it,delete_user,5,28.4,1.9,1087,1057,5.0,0.0,16.76,1.17
watch_it,search_query,5,19.8,5.1,965,952,2.0,0.0,12.93,2.86
watch_it,search_clear,5,24.0,1.0,4209,138,6.0,0.0,19.18,0.92
