library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,9720,41,1,29.74,0,2026-05-31T12:26:23.483968
riverpod,add_user,-724,20,2,19.87,0,2026-05-31T12:26:35.698895
riverpod,add_user,3348,38,3,28.18,0,2026-05-31T12:26:45.348264
riverpod,add_user,1940,21,4,17.00,0,2026-05-31T12:26:54.984141
riverpod,add_user,56,22,5,19.61,0,2026-05-31T12:27:04.653029
riverpod,add_user,2252,27,6,22.72,0,2026-05-31T12:27:14.352746
riverpod,edit_user,512,20,2,15.63,0,2026-05-31T12:27:20.684951
riverpod,search_query,484,12,1,12.85,0,2026-05-31T12:27:23.162123
riverpod,search_clear,4208,23,6,18.85,0,2026-05-31T12:27:24.227131
riverpod,delete_user,-68,26,5,19.16,0,2026-05-31T12:27:26.297385
getx,load_page_1,3276,14,0,14.33,0,2026-05-31T12:27:31.090306
getx,add_user,-1248,17,1,13.42,0,2026-05-31T12:27:43.332099
getx,add_user,1284,21,2,14.59,0,2026-05-31T12:27:52.956067
getx,add_user,1096,17,3,12.89,0,2026-05-31T12:28:02.618072
getx,add_user,1876,22,4,17.21,0,2026-05-31T12:28:12.258254
getx,add_user,4356,22,5,18.37,0,2026-05-31T12:28:21.929106
getx,edit_user,-1576,11,1,11.43,0,2026-05-31T12:28:28.266001
getx,search_query,428,11,1,15.10,0,2026-05-31T12:28:30.751088
getx,search_clear,3732,22,5,19.04,0,2026-05-31T12:28:31.823094
getx,delete_user,1692,27,4,15.63,0,2026-05-31T12:28:33.891590
provider,load_page_1,3296,19,1,21.05,0,2026-05-31T12:28:38.670460
provider,add_user,940,18,2,13.32,0,2026-05-31T12:28:50.915162
provider,add_user,1572,18,3,14.53,0,2026-05-31T12:29:00.547020
provider,add_user,1760,20,4,15.79,0,2026-05-31T12:29:10.226273
provider,add_user,2124,25,5,20.54,0,2026-05-31T12:29:19.901572
provider,add_user,2244,25,6,19.50,0,2026-05-31T12:29:29.566318
provider,edit_user,700,11,2,12.16,0,2026-05-31T12:29:35.892136
provider,search_query,444,21,1,9.77,0,2026-05-31T12:29:38.386628
provider,search_clear,232,32,6,22.98,0,2026-05-31T12:29:39.454097
provider,delete_user,852,27,5,16.86,0,2026-05-31T12:29:41.526752
watch_it,load_page_1,1204,22,1,18.95,0,2026-05-31T12:29:46.329354
watch_it,add_user,-1080,17,2,12.81,0,2026-05-31T12:29:58.549358
watch_it,add_user,1256,19,3,14.96,0,2026-05-31T12:30:08.198286
watch_it,add_user,3836,18,4,16.07,0,2026-05-31T12:30:17.878161
watch_it,add_user,2196,24,5,19.12,0,2026-05-31T12:30:27.552350
watch_it,add_user,2100,24,6,20.19,0,2026-05-31T12:30:37.226070
watch_it,edit_user,604,21,1,14.20,0,2026-05-31T12:30:43.554078
watch_it,search_query,436,22,2,11.08,0,2026-05-31T12:30:46.037232
watch_it,search_clear,4296,24,6,19.19,0,2026-05-31T12:30:47.092982
watch_it,delete_user,1948,29,5,17.54,0,2026-05-31T12:30:49.161755
