library,event,n,duration_ms_mean,duration_ms_stddev,rss_delta_kb_mean,rss_delta_kb_stddev,rebuild_count_mean,rebuild_count_stddev,worst_frame_ms_mean,worst_frame_ms_stddev
provider,load_page_1,5,44.4,5.5,7074,2832,11.0,0.0,43.75,4.56
provider,load_page_2,5,135.4,34.6,11855,1133,53.0,0.0,115.40,20.29
provider,load_page_3,5,155.4,35.5,16994,4960,64.0,0.0,117.91,14.15
provider,add_user,25,50.4,8.6,4972,1319,11.0,0.0,39.22,7.27
provider,edit_user,5,38.2,5.2,3569,153,11.0,0.0,29.50,5.44
provider,delete_user,5,57.0,12.4,2014,23,11.0,0.0,41.74,10.67
provider,search_query,5,43.4,11.2,-565,871,2.0,0.0,14.82,2.98
provider,search_clear,5,54.2,12.6,3246,1755,11.0,0.0,44.21,10.84
riverpod,load_page_1,5,91.0,41.8,16495,1008,11.0,0.0,59.49,28.41
riverpod,load_page_2,5,119.2,10.1,11642,1663,43.0,0.0,108.67,7.34
riverpod,load_page_3,5,133.8,11.3,12217,266,51.0,0.0,117.49,6.18
riverpod,add_user,25,58.0,23.3,5656,1083,11.0,0.0,46.31,17.35
riverpod,edit_user,5,26.4,8.8,179,818,2.0,0.0,21.49,5.61
riverpod,delete_user,5,61.2,4.3,1931,45,11.0,0.0,46.03,4.21
riverpod,search_query,5,37.2,13.1,-205,1174,1.0,0.0,14.19,2.72
riverpod,search_clear,5,57.2,12.0,3382,1720,11.0,0.0,46.49,10.92
getx,load_page_1,5,47.4,10.4,5737,2114,10.0,0.0,44.09,11.97
getx,load_page_2,5,120.2,14.3,11842,841,52.0,0.0,104.33,6.88
getx,load_page_3,5,140.4,27.5,13816,2534,63.0,0.0,117.58,17.00
getx,add_user,25,47.7,8.7,5359,992,10.0,0.0,36.50,6.96
getx,edit_user,5,35.2,8.6,3468,136,10.0,0.0,26.64,6.35
getx,delete_user,5,59.8,11.6,1794,1263,10.0,0.0,41.68,10.13
getx,search_query,5,42.6,6.0,-42,1190,1.0,0.0,12.20,1.10
getx,search_clear,5,52.8,6.3,4147,1144,10.0,0.0,44.23,3.71
watch_it,load_page_1,5,47.2,7.9,7274,2394,11.0,0.0,46.03,3.31
watch_it,load_page_2,5,131.2,31.4,10355,2505,53.0,0.0,114.66,25.65
watch_it,load_page_3,5,153.2,43.7,15349,4682,64.0,0.0,118.51,28.20
watch_it,add_user,25,51.2,9.5,4855,1342,11.0,0.0,39.97,8.03
watch_it,edit_user,5,37.0,10.7,3318,403,11.0,0.0,29.01,7.98
watch_it,delete_user,5,54.2,15.0,2373,898,11.0,0.0,41.88,13.83
watch_it,search_query,5,39.4,8.9,-622,918,2.0,0.0,13.69,5.57
watch_it,search_clear,5,53.8,12.0,3993,899,11.0,0.0,43.59,11.23
