library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,35664,831,11,539.00,5000,2026-06-01T10:34:45.101562
riverpod,add_user,16128,224,11,191.32,5000,2026-06-01T10:34:57.878747
riverpod,add_user,20468,209,11,180.68,5000,2026-06-01T10:35:08.074431
riverpod,add_user,13644,195,11,182.79,5000,2026-06-01T10:35:18.339789
riverpod,add_user,22168,185,11,174.07,5000,2026-06-01T10:35:28.548312
riverpod,add_user,13752,183,11,173.24,5000,2026-06-01T10:35:38.789194
riverpod,edit_user,2568,67,2,62.17,5000,2026-06-01T10:35:45.473608
riverpod,search_query,2084,64,1,30.82,5000,2026-06-01T10:35:48.045704
riverpod,search_clear,29760,178,11,168.47,5000,2026-06-01T10:35:49.240427
riverpod,delete_user,15692,182,11,167.69,5000,2026-06-01T10:35:51.349688
riverpod,load_page_2,46440,537,43,483.45,5000,2026-06-01T10:35:53.909650
riverpod,load_page_3,4700,581,51,540.42,5000,2026-06-01T10:35:55.771843
getx,load_page_1,12936,177,10,130.46,5000,2026-06-01T10:36:00.119400
getx,add_user,9736,150,10,138.28,5000,2026-06-01T10:36:12.592093
getx,add_user,13676,143,10,131.98,5000,2026-06-01T10:36:22.806061
getx,add_user,11304,145,10,133.46,5000,2026-06-01T10:36:32.989577
getx,add_user,13228,142,10,128.43,5000,2026-06-01T10:36:43.152434
getx,add_user,9324,154,10,139.34,5000,2026-06-01T10:36:53.334666
getx,edit_user,12960,98,10,84.52,5000,2026-06-01T10:37:00.075062
getx,search_query,-324,40,1,18.23,5000,2026-06-01T10:37:02.850443
getx,search_clear,9616,129,10,116.99,5000,2026-06-01T10:37:04.020267
getx,delete_user,9016,126,10,114.96,5000,2026-06-01T10:37:06.114097
getx,load_page_2,39492,476,52,447.56,5000,2026-06-01T10:37:08.607232
getx,load_page_3,21404,549,63,522.21,5000,2026-06-01T10:37:10.393796
provider,load_page_1,-7096,231,11,165.46,5000,2026-06-01T10:37:14.738309
provider,add_user,21212,151,11,139.53,5000,2026-06-01T10:37:27.218612
provider,add_user,16572,145,11,130.46,5000,2026-06-01T10:37:37.427121
provider,add_user,13260,124,11,117.84,5000,2026-06-01T10:37:47.545940
provider,add_user,13376,130,11,119.71,5000,2026-06-01T10:37:57.666500
provider,add_user,12672,126,11,119.99,5000,2026-06-01T10:38:07.739358
provider,edit_user,3504,88,11,80.54,5000,2026-06-01T10:38:14.453772
provider,search_query,-108,44,2,26.03,5000,2026-06-01T10:38:17.231405
provider,search_clear,7160,117,11,117.13,5000,2026-06-01T10:38:18.379570
provider,delete_user,13720,131,11,119.33,5000,2026-06-01T10:38:20.489637
provider,load_page_2,20560,413,53,385.95,5000,2026-06-01T10:38:22.904757
provider,load_page_3,19508,479,64,442.60,5000,2026-06-01T10:38:24.654184
watch_it,load_page_1,16068,154,11,112.33,5000,2026-06-01T10:38:28.920861
watch_it,add_user,10740,142,11,131.66,5000,2026-06-01T10:38:41.334027
watch_it,add_user,16020,141,11,125.25,5000,2026-06-01T10:38:51.488255
watch_it,add_user,12592,142,11,123.06,5000,2026-06-01T10:39:01.680876
watch_it,add_user,13908,127,11,119.97,5000,2026-06-01T10:39:11.877606
watch_it,add_user,16732,134,11,121.38,5000,2026-06-01T10:39:22.010119
watch_it,edit_user,3600,95,11,87.06,5000,2026-06-01T10:39:28.771693
watch_it,search_query,-508,42,2,23.89,5000,2026-06-01T10:39:31.559423
watch_it,search_clear,11944,126,11,117.23,5000,2026-06-01T10:39:32.718983
watch_it,delete_user,15352,125,11,112.24,5000,2026-06-01T10:39:34.836027
watch_it,load_page_2,28360,387,53,359.06,5000,2026-06-01T10:39:37.262424
watch_it,load_page_3,14820,454,64,416.87,5000,2026-06-01T10:39:38.985295
