library,event,list_page,card,total
riverpod,load_page_1,1,10,11
riverpod,add_user,1,10,11
riverpod,edit_user,1,1,2
riverpod,delete_user,1,10,11
riverpod,search_query,1,0,1
riverpod,search_clear,1,10,11
riverpod,load_page_2,1,42,43
riverpod,load_page_3,1,50,51
getx,load_page_1,0,10,10
getx,add_user,0,10,10
getx,edit_user,0,10,10
getx,delete_user,0,10,10
getx,search_query,0,1,1
getx,search_clear,0,10,10
getx,load_page_2,0,52,52
getx,load_page_3,0,63,63
provider,load_page_1,1,10,11
provider,add_user,1,10,11
provider,edit_user,1,10,11
provider,delete_user,1,10,11
provider,search_query,1,1,2
provider,search_clear,1,10,11
provider,load_page_2,1,52,53
provider,load_page_3,1,63,64
watch_it,load_page_1,1,10,11
watch_it,add_user,1,10,11
watch_it,edit_user,1,10,11
watch_it,delete_user,1,10,11
watch_it,search_query,1,1,2
watch_it,search_clear,1,10,11
watch_it,load_page_2,1,52,53
watch_it,load_page_3,1,63,64
