library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,14828,87,11,52.86,5000,2026-06-01T15:10:29.423913
riverpod,add_user,6020,42,11,32.53,5000,2026-06-01T15:10:41.696376
riverpod,add_user,5940,54,11,42.35,5000,2026-06-01T15:10:51.536564
riverpod,add_user,6692,72,11,61.78,5000,2026-06-01T15:11:01.341145
riverpod,add_user,5800,43,11,33.92,5000,2026-06-01T15:11:11.113590
riverpod,add_user,5836,55,11,44.96,5000,2026-06-01T15:11:20.925830
riverpod,edit_user,540,30,2,24.00,5000,2026-06-01T15:11:27.319115
riverpod,search_query,1024,47,1,16.81,5000,2026-06-01T15:11:29.870772
riverpod,search_clear,3796,62,11,52.31,5000,2026-06-01T15:11:30.954175
riverpod,delete_user,1968,65,11,50.19,5000,2026-06-01T15:11:33.045935
riverpod,load_page_2,13932,119,43,113.83,5000,2026-06-01T15:11:35.191117
riverpod,load_page_3,11904,127,51,116.91,5000,2026-06-01T15:11:36.571888
getx,load_page_1,6084,44,10,43.14,5000,2026-06-01T15:11:40.649742
getx,add_user,5840,51,10,40.28,5000,2026-06-01T15:11:53.019298
getx,add_user,5732,46,10,34.31,5000,2026-06-01T15:12:02.854597
getx,add_user,5832,57,10,44.75,5000,2026-06-01T15:12:12.636778
getx,add_user,5724,49,10,37.50,5000,2026-06-01T15:12:22.417669
getx,add_user,5820,32,10,28.11,5000,2026-06-01T15:12:32.139982
getx,edit_user,3500,34,10,23.33,5000,2026-06-01T15:12:38.556597
getx,search_query,-1348,48,1,12.54,5000,2026-06-01T15:12:41.069261
getx,search_clear,3256,61,10,49.22,5000,2026-06-01T15:12:42.149388
getx,delete_user,1684,56,10,40.24,5000,2026-06-01T15:12:44.236933
getx,load_page_2,11456,120,52,103.32,5000,2026-06-01T15:12:46.375524
getx,load_page_3,12692,126,63,110.19,5000,2026-06-01T15:12:47.754695
provider,load_page_1,4288,39,11,45.65,5000,2026-06-01T15:12:51.856698
provider,add_user,6196,52,11,39.96,5000,2026-06-01T15:13:04.212520
provider,add_user,3808,47,11,34.75,5000,2026-06-01T15:13:13.975430
provider,add_user,5708,59,11,45.57,5000,2026-06-01T15:13:23.765400
provider,add_user,5988,48,11,36.87,5000,2026-06-01T15:13:33.530501
provider,add_user,5692,58,11,46.34,5000,2026-06-01T15:13:43.312559
provider,edit_user,3432,40,11,31.18,5000,2026-06-01T15:13:49.670980
provider,search_query,-968,55,2,17.25,5000,2026-06-01T15:13:52.206430
provider,search_clear,1476,59,11,48.67,5000,2026-06-01T15:13:53.287242
provider,delete_user,2040,72,11,54.52,5000,2026-06-01T15:13:55.392379
provider,load_page_2,11408,117,53,106.00,5000,2026-06-01T15:13:57.540270
provider,load_page_3,19440,161,64,118.05,5000,2026-06-01T15:13:58.973177
watch_it,load_page_1,6116,45,11,48.73,5000,2026-06-01T15:14:03.054230
watch_it,add_user,5752,57,11,46.20,5000,2026-06-01T15:14:15.390794
watch_it,add_user,5716,58,11,45.28,5000,2026-06-01T15:14:25.181971
watch_it,add_user,5960,42,11,34.59,5000,2026-06-01T15:14:34.946534
watch_it,add_user,5812,52,11,39.23,5000,2026-06-01T15:14:44.740229
watch_it,add_user,3700,61,11,45.55,5000,2026-06-01T15:14:54.523306
watch_it,edit_user,3552,43,11,33.23,5000,2026-06-01T15:15:00.945268
watch_it,search_query,-1072,55,2,23.58,5000,2026-06-01T15:15:03.497418
watch_it,search_clear,3508,62,11,51.33,5000,2026-06-01T15:15:04.597661
watch_it,delete_user,3956,75,11,63.75,5000,2026-06-01T15:15:06.717638
watch_it,load_page_2,9296,114,53,99.19,5000,2026-06-01T15:15:08.859205
watch_it,load_page_3,12852,124,64,107.48,5000,2026-06-01T15:15:10.250812
