library,event,n,duration_ms_mean,duration_ms_stddev,rss_delta_kb_mean,rss_delta_kb_stddev,rebuild_count_mean,rebuild_count_stddev,worst_frame_ms_mean,worst_frame_ms_stddev
provider,load_page_1,5,51.8,4.9,6369,160,11.0,0.0,29.33,2.09
provider,load_page_2,5,71.2,9.7,3523,1040,23.0,0.0,59.80,6.13
provider,load_page_3,5,87.6,8.2,5369,98,34.0,0.0,75.26,4.51
provider,add_user,25,52.2,4.6,5455,818,11.0,0.0,40.76,4.14
provider,edit_user,5,37.4,8.7,3614,206,11.0,0.0,30.56,6.03
provider,delete_user,5,51.8,5.8,2185,986,11.0,0.0,41.39,3.04
provider,search_query,5,30.0,3.1,-1411,63,2.0,0.0,17.91,2.08
provider,search_clear,5,60.0,3.2,3593,1463,11.0,0.0,48.96,2.42
riverpod,load_page_1,5,85.0,16.0,14167,865,11.0,0.0,64.23,17.81
riverpod,load_page_2,5,63.2,8.7,5222,1037,13.0,0.0,57.08,6.94
riverpod,load_page_3,5,87.2,8.8,4958,713,21.0,0.0,73.77,4.67
riverpod,add_user,25,54.6,7.1,5449,867,11.0,0.0,43.09,7.49
riverpod,edit_user,5,30.6,6.5,662,120,2.0,0.0,26.07,4.18
riverpod,delete_user,5,53.0,4.5,2368,847,11.0,0.0,44.17,2.53
riverpod,search_query,5,27.6,2.1,-1419,117,1.0,0.0,17.63,1.21
riverpod,search_clear,5,57.0,9.1,2388,1143,11.0,0.0,46.72,6.53
getx,load_page_1,5,55.0,2.4,6214,23,10.0,0.0,31.01,1.66
getx,load_page_2,5,74.6,7.9,3074,1910,22.0,0.0,61.93,4.59
getx,load_page_3,5,87.2,7.3,5291,122,33.0,0.0,74.58,4.67
getx,add_user,25,50.8,7.4,5124,1009,10.0,0.0,39.30,7.74
getx,edit_user,5,42.8,1.1,3311,235,10.0,0.0,34.01,1.41
getx,delete_user,5,54.0,11.2,1842,865,10.0,0.0,42.20,5.94
getx,search_query,5,27.2,4.3,-1710,32,1.0,0.0,12.60,0.69
getx,search_clear,5,57.8,1.3,4238,1132,10.0,0.0,47.18,0.78
watch_it,load_page_1,5,54.2,6.1,5822,923,11.0,0.0,31.49,1.92
watch_it,load_page_2,5,65.0,4.9,3823,1165,23.0,0.0,56.03,3.13
watch_it,load_page_3,5,87.0,6.8,5232,103,34.0,0.0,76.10,5.48
watch_it,add_user,25,51.5,6.5,5653,582,11.0,0.0,40.92,5.17
watch_it,edit_user,5,39.4,7.7,3418,82,11.0,0.0,30.70,6.27
watch_it,delete_user,5,52.2,8.3,1757,71,11.0,0.0,42.17,5.36
watch_it,search_query,5,32.4,2.9,-1414,91,2.0,0.0,19.00,0.46
watch_it,search_clear,5,57.6,4.5,3620,32,11.0,0.0,47.26,2.87
