library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,37884,814,11,482.64,100,2026-06-01T10:28:05.305709
riverpod,add_user,17556,241,11,207.21,100,2026-06-01T10:28:18.455968
riverpod,add_user,20644,215,11,183.72,100,2026-06-01T10:28:28.774173
riverpod,add_user,12508,197,11,178.86,100,2026-06-01T10:28:39.105245
riverpod,add_user,17132,187,11,174.17,100,2026-06-01T10:28:49.346361
riverpod,add_user,10912,185,11,170.75,100,2026-06-01T10:28:59.573506
riverpod,edit_user,2404,65,2,62.83,100,2026-06-01T10:29:06.286131
riverpod,search_query,2384,49,1,38.62,100,2026-06-01T10:29:08.826045
riverpod,search_clear,7304,173,11,161.59,100,2026-06-01T10:29:10.024402
riverpod,delete_user,19868,167,11,160.49,100,2026-06-01T10:29:12.119856
riverpod,load_page_2,31148,199,13,175.32,100,2026-06-01T10:29:14.316686
riverpod,load_page_3,20712,275,21,254.40,100,2026-06-01T10:29:15.868308
getx,load_page_1,16156,167,10,123.07,100,2026-06-01T10:29:20.204902
getx,add_user,12048,146,10,138.13,100,2026-06-01T10:29:32.688431
getx,add_user,13556,157,10,149.32,100,2026-06-01T10:29:42.905316
getx,add_user,10068,153,10,137.47,100,2026-06-01T10:29:53.090969
getx,add_user,9964,144,10,129.91,100,2026-06-01T10:30:03.266712
getx,add_user,13852,144,10,128.34,100,2026-06-01T10:30:13.411029
getx,edit_user,10324,78,10,75.06,100,2026-06-01T10:30:20.148716
getx,search_query,2672,42,1,21.72,100,2026-06-01T10:30:23.001888
getx,search_clear,8604,140,10,129.20,100,2026-06-01T10:30:24.166046
getx,delete_user,9020,132,10,121.78,100,2026-06-01T10:30:26.261360
getx,load_page_2,30124,206,22,186.73,100,2026-06-01T10:30:28.478443
getx,load_page_3,18128,290,33,270.07,100,2026-06-01T10:30:30.044443
provider,load_page_1,-5948,248,11,189.91,100,2026-06-01T10:30:34.411474
provider,add_user,21264,154,11,140.48,100,2026-06-01T10:30:46.848633
provider,add_user,16376,150,11,137.27,100,2026-06-01T10:30:57.019396
provider,add_user,19288,163,11,151.22,100,2026-06-01T10:31:07.220658
provider,add_user,10472,148,11,132.62,100,2026-06-01T10:31:17.431261
provider,add_user,12368,143,11,130.89,100,2026-06-01T10:31:27.581744
provider,edit_user,7240,96,11,84.63,100,2026-06-01T10:31:34.352058
provider,search_query,-624,41,2,29.56,100,2026-06-01T10:31:37.150823
provider,search_clear,9424,129,11,118.08,100,2026-06-01T10:31:38.306694
provider,delete_user,14024,135,11,122.80,100,2026-06-01T10:31:40.415797
provider,load_page_2,12884,170,23,163.75,100,2026-06-01T10:31:42.566418
provider,load_page_3,17384,254,34,242.03,100,2026-06-01T10:31:44.099561
watch_it,load_page_1,12140,154,11,109.27,100,2026-06-01T10:31:48.368494
watch_it,add_user,10740,139,11,131.14,100,2026-06-01T10:32:00.814431
watch_it,add_user,16544,137,11,125.54,100,2026-06-01T10:32:11.001722
watch_it,add_user,12084,135,11,122.64,100,2026-06-01T10:32:21.134880
watch_it,add_user,15284,143,11,128.79,100,2026-06-01T10:32:31.306644
watch_it,add_user,11428,129,11,117.92,100,2026-06-01T10:32:41.455821
watch_it,edit_user,3784,74,11,74.69,100,2026-06-01T10:32:48.167974
watch_it,search_query,1292,35,2,25.89,100,2026-06-01T10:32:50.963922
watch_it,search_clear,9248,133,11,113.46,100,2026-06-01T10:32:52.129359
watch_it,delete_user,14912,129,11,116.74,100,2026-06-01T10:32:54.237320
watch_it,load_page_2,10268,177,23,164.63,100,2026-06-01T10:32:56.400087
watch_it,load_page_3,27756,250,34,227.09,100,2026-06-01T10:32:57.915041
