library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,14960,77,11,48.44,100,2026-06-01T12:36:19.241343
riverpod,add_user,6092,45,11,35.80,100,2026-06-01T12:36:31.528020
riverpod,add_user,5188,71,11,61.52,100,2026-06-01T12:36:41.361136
riverpod,add_user,3788,49,11,35.80,100,2026-06-01T12:36:51.436782
riverpod,add_user,5852,42,11,32.63,100,2026-06-01T12:37:01.207478
riverpod,add_user,5924,57,11,46.12,100,2026-06-01T12:37:11.025618
riverpod,edit_user,784,34,2,27.61,100,2026-06-01T12:37:17.431063
riverpod,search_query,-1228,26,1,16.88,100,2026-06-01T12:37:19.947837
riverpod,search_clear,1600,59,11,48.47,100,2026-06-01T12:37:21.046440
riverpod,delete_user,1884,52,11,46.05,100,2026-06-01T12:37:23.156932
riverpod,load_page_2,4968,78,13,68.94,100,2026-06-01T12:37:25.292231
riverpod,load_page_3,5536,95,21,77.32,100,2026-06-01T12:37:26.688786
getx,load_page_1,6224,57,10,30.92,100,2026-06-01T12:37:30.794085
getx,add_user,5908,34,10,22.71,100,2026-06-01T12:37:43.160359
getx,add_user,5652,56,10,43.07,100,2026-06-01T12:37:52.961642
getx,add_user,3704,39,10,23.22,100,2026-06-01T12:38:02.713842
getx,add_user,5820,57,10,48.74,100,2026-06-01T12:38:12.502258
getx,add_user,3656,46,10,32.19,100,2026-06-01T12:38:22.297316
getx,edit_user,3428,44,10,34.49,100,2026-06-01T12:38:28.688190
getx,search_query,-1720,34,1,13.62,100,2026-06-01T12:38:31.210456
getx,search_clear,3308,57,10,46.99,100,2026-06-01T12:38:32.299177
getx,delete_user,1500,46,10,38.07,100,2026-06-01T12:38:34.387050
getx,load_page_2,2836,76,22,61.96,100,2026-06-01T12:38:36.510968
getx,load_page_3,5356,92,33,75.66,100,2026-06-01T12:38:37.906303
provider,load_page_1,6496,56,11,29.79,100,2026-06-01T12:38:42.014610
provider,add_user,6064,47,11,34.08,100,2026-06-01T12:38:54.424038
provider,add_user,3736,59,11,43.92,100,2026-06-01T12:39:04.226539
provider,add_user,5776,43,11,34.00,100,2026-06-01T12:39:13.978326
provider,add_user,4156,49,11,36.71,100,2026-06-01T12:39:23.758117
provider,add_user,5764,48,11,36.49,100,2026-06-01T12:39:33.512740
provider,edit_user,3852,30,11,25.61,100,2026-06-01T12:39:39.903436
provider,search_query,-1424,28,2,16.26,100,2026-06-01T12:39:42.403479
provider,search_clear,3688,60,11,49.71,100,2026-06-01T12:39:43.493355
provider,delete_user,1784,48,11,39.80,100,2026-06-01T12:39:45.571431
provider,load_page_2,2980,60,23,53.31,100,2026-06-01T12:39:47.678246
provider,load_page_3,5304,83,34,73.55,100,2026-06-01T12:39:49.056283
watch_it,load_page_1,6224,46,11,28.28,100,2026-06-01T12:39:53.163368
watch_it,add_user,6020,41,11,34.99,100,2026-06-01T12:40:05.538893
watch_it,add_user,5968,52,11,42.04,100,2026-06-01T12:40:15.310053
watch_it,add_user,5772,62,11,48.68,100,2026-06-01T12:40:25.092765
watch_it,add_user,5724,44,11,34.77,100,2026-06-01T12:40:34.850782
watch_it,add_user,5700,58,11,45.94,100,2026-06-01T12:40:44.680572
watch_it,edit_user,3448,45,11,35.06,100,2026-06-01T12:40:51.104484
watch_it,search_query,-1504,32,2,19.70,100,2026-06-01T12:40:53.613446
watch_it,search_clear,3620,57,11,46.32,100,2026-06-01T12:40:54.706596
watch_it,delete_user,1704,66,11,50.40,100,2026-06-01T12:40:56.808217
watch_it,load_page_2,2960,70,23,59.63,100,2026-06-01T12:40:58.894171
watch_it,load_page_3,5184,97,34,84.81,100,2026-06-01T12:41:00.275886
