library,event,n,duration_ms_mean,duration_ms_stddev,rss_delta_kb_mean,rss_delta_kb_stddev,rebuild_count_mean,rebuild_count_stddev,worst_frame_ms_mean,worst_frame_ms_stddev
provider,load_page_1,5,48.2,1.6,6230,101,11.0,0.0,33.90,0.92
provider,load_page_2,5,71.4,7.8,2583,918,23.0,0.0,59.60,4.81
provider,load_page_3,5,84.8,5.4,5370,99,34.0,0.0,73.36,3.03
provider,add_user,25,51.1,8.8,5256,931,11.0,0.0,40.28,6.67
provider,edit_user,5,35.6,7.4,3570,207,11.0,0.0,29.24,4.70
provider,delete_user,5,50.0,8.0,1733,50,11.0,0.0,38.19,6.94
provider,search_query,5,36.0,5.0,-828,907,2.0,0.0,18.04,1.85
provider,search_clear,5,60.4,1.1,3758,1454,11.0,0.0,48.47,1.73
riverpod,load_page_1,5,77.8,32.8,13582,3261,11.0,0.0,53.83,19.87
riverpod,load_page_2,5,59.4,5.1,4723,97,13.0,0.0,52.92,3.35
riverpod,load_page_3,5,83.6,6.3,6019,2344,21.0,0.0,69.79,3.75
riverpod,add_user,25,54.1,6.6,5617,728,11.0,0.0,43.59,5.97
riverpod,edit_user,5,23.8,7.9,584,96,2.0,0.0,21.68,4.63
riverpod,delete_user,5,48.8,3.6,2178,904,11.0,0.0,41.34,3.68
riverpod,search_query,5,36.2,5.4,-1369,184,1.0,0.0,17.07,1.97
riverpod,search_clear,5,59.2,6.0,4497,1136,11.0,0.0,49.62,3.47
getx,load_page_1,5,44.8,2.9,5496,1019,10.0,0.0,31.54,3.33
getx,load_page_2,5,65.0,10.1,2019,1149,22.0,0.0,55.86,6.75
getx,load_page_3,5,86.0,6.4,4799,1040,33.0,0.0,73.35,4.48
getx,add_user,25,50.9,7.2,5272,765,10.0,0.0,39.98,6.69
getx,edit_user,5,36.8,7.8,3501,92,10.0,0.0,28.65,6.08
getx,delete_user,5,52.6,9.0,1816,877,10.0,0.0,41.33,5.98
getx,search_query,5,33.8,8.0,-1232,932,1.0,0.0,13.50,1.02
getx,search_clear,5,54.2,7.5,3454,96,10.0,0.0,43.67,7.04
watch_it,load_page_1,5,51.2,5.4,6342,124,11.0,0.0,34.26,0.77
watch_it,load_page_2,5,74.2,18.8,4050,1398,23.0,0.0,63.90,16.38
watch_it,load_page_3,5,87.0,8.8,5245,81,34.0,0.0,73.64,9.68
watch_it,add_user,25,52.0,6.3,5405,833,11.0,0.0,40.46,4.82
watch_it,edit_user,5,34.0,6.0,3460,87,11.0,0.0,28.52,3.48
watch_it,delete_user,5,50.2,5.3,1682,85,11.0,0.0,40.69,4.54
watch_it,search_query,5,39.8,2.5,-1315,68,2.0,0.0,18.32,0.68
watch_it,search_clear,5,55.6,9.2,3638,26,11.0,0.0,45.77,6.99
