library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,14896,63,11,45.21,1000,2026-06-01T13:31:27.604905
riverpod,add_user,4100,47,11,35.43,1000,2026-06-01T13:31:39.971436
riverpod,add_user,5888,50,11,38.20,1000,2026-06-01T13:31:49.774389
riverpod,add_user,4012,62,11,51.45,1000,2026-06-01T13:31:59.589504
riverpod,add_user,5736,41,11,34.25,1000,2026-06-01T13:32:09.680794
riverpod,add_user,5816,47,11,37.11,1000,2026-06-01T13:32:19.478177
riverpod,edit_user,544,18,2,18.49,1000,2026-06-01T13:32:25.884342
riverpod,search_query,-1276,41,1,19.11,1000,2026-06-01T13:32:28.426920
riverpod,search_clear,3668,61,11,49.75,1000,2026-06-01T13:32:29.524439
riverpod,delete_user,1616,48,11,41.29,1000,2026-06-01T13:32:31.610513
riverpod,load_page_2,4828,54,13,50.67,1000,2026-06-01T13:32:33.715353
riverpod,load_page_3,5376,89,21,74.20,1000,2026-06-01T13:32:35.104826
getx,load_page_1,6212,49,10,34.01,1000,2026-06-01T13:32:39.193153
getx,add_user,4004,57,10,44.80,1000,2026-06-01T13:32:51.576988
getx,add_user,3852,37,10,28.82,1000,2026-06-01T13:33:01.365904
getx,add_user,5628,56,10,43.62,1000,2026-06-01T13:33:11.169906
getx,add_user,5652,54,10,41.36,1000,2026-06-01T13:33:20.952384
getx,add_user,5584,57,10,44.17,1000,2026-06-01T13:33:30.728228
getx,edit_user,3432,43,10,35.07,1000,2026-06-01T13:33:37.128205
getx,search_query,-1600,33,1,13.17,1000,2026-06-01T13:33:39.642104
getx,search_clear,3464,41,10,31.23,1000,2026-06-01T13:33:40.709212
getx,delete_user,1488,43,10,34.63,1000,2026-06-01T13:33:42.807418
getx,load_page_2,808,69,22,58.92,1000,2026-06-01T13:33:44.917473
getx,load_page_3,5232,83,33,73.91,1000,2026-06-01T13:33:46.288709
provider,load_page_1,6196,47,11,33.38,1000,2026-06-01T13:33:50.393042
provider,add_user,6116,59,11,49.63,1000,2026-06-01T13:34:02.666144
provider,add_user,5980,35,11,30.79,1000,2026-06-01T13:34:12.405315
provider,add_user,5788,44,11,37.51,1000,2026-06-01T13:34:22.192163
provider,add_user,5748,56,11,45.65,1000,2026-06-01T13:34:31.997535
provider,add_user,3804,55,11,44.13,1000,2026-06-01T13:34:41.818848
provider,edit_user,3436,35,11,30.99,1000,2026-06-01T13:34:48.191911
provider,search_query,-1208,29,2,20.01,1000,2026-06-01T13:34:50.684332
provider,search_clear,5800,62,11,47.78,1000,2026-06-01T13:34:51.790714
provider,delete_user,1748,64,11,48.30,1000,2026-06-01T13:34:53.879577
provider,load_page_2,2552,61,23,52.98,1000,2026-06-01T13:34:55.976783
provider,load_page_3,5304,81,34,70.47,1000,2026-06-01T13:34:57.367515
watch_it,load_page_1,6200,60,11,34.37,1000,2026-06-01T13:35:01.476277
watch_it,add_user,4088,56,11,44.73,1000,2026-06-01T13:35:13.839710
watch_it,add_user,5728,41,11,32.85,1000,2026-06-01T13:35:23.928647
watch_it,add_user,5840,49,11,36.45,1000,2026-06-01T13:35:33.713855
watch_it,add_user,5756,48,11,35.80,1000,2026-06-01T13:35:43.484113
watch_it,add_user,5900,55,11,42.61,1000,2026-06-01T13:35:53.290503
watch_it,edit_user,3416,37,11,31.15,1000,2026-06-01T13:35:59.660767
watch_it,search_query,-1380,38,2,18.58,1000,2026-06-01T13:36:02.190594
watch_it,search_clear,3636,59,11,48.47,1000,2026-06-01T13:36:03.285558
watch_it,delete_user,1592,48,11,38.77,1000,2026-06-01T13:36:05.365919
watch_it,load_page_2,3012,64,23,55.49,1000,2026-06-01T13:36:07.482235
watch_it,load_page_3,5180,85,34,76.30,1000,2026-06-01T13:36:08.860751
