library,event,n,duration_ms_mean,duration_ms_stddev,rss_delta_kb_mean,rss_delta_kb_stddev,rebuild_count_mean,rebuild_count_stddev,worst_frame_ms_mean,worst_frame_ms_stddev
provider,load_page_1,5,23.8,3.2,2510,1155,1.0,0.0,27.69,10.82
provider,add_user,25,31.7,7.4,2964,1361,4.0,1.4,25.34,6.25
provider,edit_user,5,23.6,4.0,2680,814,6.0,0.0,20.40,3.47
provider,delete_user,5,41.0,10.2,282,1026,5.0,0.0,29.72,7.98
provider,search_query,5,28.2,5.2,-125,1240,2.0,0.0,17.98,1.86
provider,search_clear,5,38.8,12.0,3353,1098,6.0,0.0,31.31,8.76
riverpod,load_page_1,5,47.6,14.4,10549,1065,1.0,0.0,32.64,7.23
riverpod,add_user,25,33.4,7.4,2746,1505,4.0,1.4,28.99,6.74
riverpod,edit_user,5,22.6,7.4,215,852,2.0,0.0,21.12,5.84
riverpod,delete_user,5,35.8,7.4,230,1060,5.0,0.0,26.89,7.17
riverpod,search_query,5,22.0,5.2,-1053,853,1.0,0.0,13.80,0.51
riverpod,search_clear,5,44.2,7.5,1294,1831,6.0,0.0,34.03,8.10
getx,load_page_1,5,24.6,2.1,2663,978,0.0,0.0,25.05,4.99
getx,add_user,25,28.2,7.4,2652,1431,3.0,1.4,22.51,5.93
getx,edit_user,5,21.0,4.8,2572,1022,5.0,0.0,19.22,3.18
getx,delete_user,5,32.4,6.2,-138,1161,4.0,0.0,25.33,5.05
getx,search_query,5,23.0,6.8,-422,1776,1.0,0.0,14.04,2.49
getx,search_clear,5,45.6,4.4,2692,1157,5.0,0.0,36.35,1.81
watch_it,load_page_1,5,29.0,5.1,3708,1935,1.0,0.0,26.77,5.88
watch_it,add_user,25,29.7,7.1,3036,1349,4.0,1.4,24.18,5.88
watch_it,edit_user,5,27.4,7.1,2591,827,6.0,0.0,22.19,5.88
watch_it,delete_user,5,32.4,12.7,263,953,5.0,0.0,23.69,9.67
watch_it,search_query,5,19.8,7.9,-615,1123,2.0,0.0,13.72,6.07
watch_it,search_clear,5,43.8,13.2,2902,1901,6.0,0.0,33.72,12.21
