library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,9036,38,1,29.77,0,2026-06-01T15:37:21.488988
riverpod,add_user,1200,38,2,37.33,0,2026-06-01T15:37:33.804275
riverpod,add_user,3176,35,3,29.03,0,2026-06-01T15:37:43.564917
riverpod,add_user,3972,39,4,32.68,0,2026-06-01T15:37:53.319942
riverpod,add_user,4088,47,5,37.10,0,2026-06-01T15:38:03.126131
riverpod,add_user,4496,34,6,30.54,0,2026-06-01T15:38:12.876762
riverpod,edit_user,528,33,2,27.64,0,2026-06-01T15:38:19.282753
riverpod,search_query,-1536,23,1,13.26,0,2026-06-01T15:38:21.798971
riverpod,search_clear,2064,49,6,38.12,0,2026-06-01T15:38:22.900343
riverpod,delete_user,-140,39,5,31.32,0,2026-06-01T15:38:24.988177
getx,load_page_1,3036,26,0,27.97,0,2026-06-01T15:38:29.881807
getx,add_user,516,30,1,22.10,0,2026-06-01T15:38:42.203355
getx,add_user,3140,24,2,20.86,0,2026-06-01T15:38:51.974864
getx,add_user,3528,25,3,22.48,0,2026-06-01T15:39:01.706687
getx,add_user,3880,30,4,25.54,0,2026-06-01T15:39:11.467068
getx,add_user,4204,36,5,28.47,0,2026-06-01T15:39:21.306442
getx,edit_user,3364,22,5,20.76,0,2026-06-01T15:39:27.688304
getx,search_query,256,25,1,11.40,0,2026-06-01T15:39:30.191450
getx,search_clear,1880,49,5,38.60,0,2026-06-01T15:39:31.289358
getx,delete_user,-540,40,4,30.57,0,2026-06-01T15:39:33.374881
provider,load_page_1,3424,26,1,33.31,0,2026-06-01T15:39:38.228628
provider,add_user,764,29,2,23.71,0,2026-06-01T15:39:50.545239
provider,add_user,3448,34,3,28.09,0,2026-06-01T15:40:00.289282
provider,add_user,3696,41,4,33.72,0,2026-06-01T15:40:10.029890
provider,add_user,4260,34,5,28.48,0,2026-06-01T15:40:19.799419
provider,add_user,4580,41,6,31.12,0,2026-06-01T15:40:29.594857
provider,edit_user,2752,24,6,22.01,0,2026-06-01T15:40:35.985561
provider,search_query,-1352,28,2,17.95,0,2026-06-01T15:40:38.480527
provider,search_clear,4152,49,6,37.95,0,2026-06-01T15:40:39.569166
provider,delete_user,-200,39,5,31.47,0,2026-06-01T15:40:41.658410
watch_it,load_page_1,1436,27,1,28.32,0,2026-06-01T15:40:46.510948
watch_it,add_user,904,33,2,19.71,0,2026-06-01T15:40:58.814270
watch_it,add_user,3332,35,3,25.61,0,2026-06-01T15:41:08.563505
watch_it,add_user,3724,24,4,21.49,0,2026-06-01T15:41:18.296529
watch_it,add_user,3984,30,5,23.86,0,2026-06-01T15:41:28.054593
watch_it,add_user,4252,33,6,29.41,0,2026-06-01T15:41:37.830341
watch_it,edit_user,3104,26,6,21.93,0,2026-06-01T15:41:44.216771
watch_it,search_query,-1600,30,2,21.72,0,2026-06-01T15:41:46.717260
watch_it,search_clear,2072,50,6,43.74,0,2026-06-01T15:41:47.804451
watch_it,delete_user,-232,37,5,29.29,0,2026-06-01T15:41:49.888663
